mux_type,k_min,density,rep,N,N_gcc,giant_fraction
no_mux,100.0,0.0006857951862824582,28,1000,762.0,0.762
no_mux,100.0,0.0006857951862824582,29,1000,779.0,0.779
no_mux,100.0,0.0006857951862824582,30,1000,583.0,0.583
no_mux,100.0,0.0006857951862824582,31,1000,394.0,0.394
no_mux,100.0,0.0006857951862824582,32,1000,388.0,0.388
no_mux,100.0,0.0006857951862824582,33,1000,567.0,0.567
no_mux,100.0,0.0006857951862824582,34,1000,302.0,0.302
no_mux,100.0,0.0006857951862824582,35,1000,612.0,0.612
no_mux,100.0,0.0006857951862824582,36,1000,402.0,0.402
no_mux,100.0,0.0006857951862824582,37,1000,442.0,0.442
no_mux,100.0,0.0006857951862824582,38,1000,399.0,0.399
no_mux,100.0,0.0006857951862824582,39,1000,728.0,0.728
no_mux,100.0,0.0008000000000000004,0,1000,803.0,0.803
no_mux,100.0,0.0008000000000000004,1,1000,554.0,0.554
no_mux,100.0,0.0008000000000000004,2,1000,818.0,0.818
no_mux,100.0,0.0008000000000000004,3,1000,758.0,0.758
no_mux,100.0,0.0008000000000000004,4,1000,630.0,0.63
no_mux,100.0,0.0008000000000000004,5,1000,760.0,0.76
no_mux,100.0,0.0008000000000000004,6,1000,771.0,0.771
no_mux,100.0,0.0008000000000000004,7,1000,781.0,0.781
no_mux,100.0,0.0008000000000000004,8,1000,693.0,0.693
no_mux,100.0,0.0008000000000000004,9,1000,400.0,0.4
no_mux,100.0,0.0008000000000000004,10,1000,486.0,0.486
no_mux,100.0,0.0008000000000000004,11,1000,788.0,0.788
no_mux,100.0,0.0008000000000000004,12,1000,805.0,0.805
no_mux,100.0,0.0008000000000000004,13,1000,621.0,0.621
no_mux,100.0,0.0008000000000000004,14,1000,423.0,0.423
no_mux,100.0,0.0008000000000000004,15,1000,506.0,0.506
no_mux,100.0,0.0008000000000000004,16,1000,783.0,0.783
no_mux,100.0,0.0008000000000000004,17,1000,347.0,0.347
no_mux,100.0,0.0008000000000000004,18,1000,790.0,0.79
no_mux,100.0,0.0008000000000000004,19,1000,733.0,0.733
no_mux,100.0,0.0008000000000000004,20,1000,815.0,0.815
no_mux,100.0,0.0008000000000000004,21,1000,684.0,0.684
no_mux,100.0,0.0008000000000000004,22,1000,767.0,0.767
no_mux,100.0,0.0008000000000000004,23,1000,751.0,0.751
no_mux,100.0,0.0008000000000000004,24,1000,481.0,0.481
no_mux,100.0,0.0008000000000000004,25,1000,706.0,0.706
no_mux,100.0,0.0008000000000000004,26,1000,823.0,0.823
no_mux,100.0,0.0008000000000000004,27,1000,808.0,0.808
no_mux,100.0,0.0008000000000000004,28,1000,755.0,0.755
no_mux,100.0,0.0008000000000000004,29,1000,866.0,0.866
no_mux,100.0,0.0008000000000000004,30,1000,566.0,0.566
no_mux,100.0,0.0008000000000000004,31,1000,804.0,0.804
no_mux,100.0,0.0008000000000000004,32,1000,789.0,0.789
no_mux,100.0,0.0008000000000000004,33,1000,830.0,0.83
no_mux,100.0,0.0008000000000000004,34,1000,750.0,0.75
no_mux,100.0,0.0008000000000000004,35,1000,658.0,0.658
no_mux,100.0,0.0008000000000000004,36,1000,504.0,0.504
no_mux,100.0,0.0008000000000000004,37,1000,490.0,0.49
no_mux,100.0,0.0008000000000000004,38,1000,792.0,0.792
no_mux,100.0,0.0008000000000000004,39,1000,833.0,0.833
mux20,1000.0,0.00020000000000000004,0,1000,68.0,0.068
mux20,1000.0,0.00020000000000000004,1,1000,192.0,0.192
mux20,1000.0,0.00020000000000000004,2,1000,60.0,0.06
mux20,1000.0,0.00020000000000000004,3,1000,66.0,0.066
mux20,1000.0,0.00020000000000000004,4,1000,84.0,0.084
mux20,1000.0,0.00020000000000000004,5,1000,141.0,0.141
mux20,1000.0,0.00020000000000000004,6,1000,141.0,0.141
mux20,1000.0,0.00020000000000000004,7,1000,113.0,0.113
mux20,1000.0,0.00020000000000000004,8,1000,99.0,0.099
mux20,1000.0,0.00020000000000000004,9,1000,92.0,0.092
mux20,1000.0,0.00020000000000000004,10,1000,72.0,0.072
mux20,1000.0,0.00020000000000000004,11,1000,90.0,0.09
mux20,1000.0,0.00020000000000000004,12,1000,55.0,0.055
mux20,1000.0,0.00020000000000000004,13,1000,69.0,0.069
mux20,1000.0,0.00020000000000000004,14,1000,55.0,0.055
mux20,1000.0,0.00020000000000000004,15,1000,81.0,0.081
mux20,1000.0,0.00020000000000000004,16,1000,78.0,0.078
mux20,1000.0,0.00020000000000000004,17,1000,107.0,0.107
mux20,1000.0,0.00020000000000000004,18,1000,99.0,0.099
mux20,1000.0,0.00020000000000000004,19,1000,57.0,0.057
mux20,1000.0,0.00020000000000000004,20,1000,71.0,0.071
mux20,1000.0,0.00020000000000000004,21,1000,157.0,0.157
mux20,1000.0,0.00020000000000000004,22,1000,125.0,0.125
mux20,1000.0,0.00020000000000000004,23,1000,104.0,0.104
mux20,1000.0,0.00020000000000000004,24,1000,70.0,0.07
mux20,1000.0,0.00020000000000000004,25,1000,128.0,0.128
mux20,1000.0,0.00020000000000000004,26,1000,118.0,0.118
mux20,1000.0,0.00020000000000000004,27,1000,56.0,0.056
mux20,1000.0,0.00020000000000000004,28,1000,96.0,0.096
mux20,1000.0,0.00020000000000000004,29,1000,67.0,0.067
mux20,1000.0,0.00020000000000000004,30,1000,109.0,0.109
mux20,1000.0,0.00020000000000000004,31,1000,113.0,0.113
