mux_type,k_min,M,density,rep,N,avg_skr,avg_qber,avg_fidelity,avg_ent_rate,reachability
no_mux,100,1,0.004291934260128779,9,1000,8.76228926276199,0.2800161446218508,0.5799757830672237,55.8025696555627,0.04564564564564565
no_mux,100,1,0.005428675439323859,0,1000,10.16436293152412,0.2430618488588699,0.6354072267116952,72.36870529842588,0.0575975975975976
no_mux,100,1,0.005428675439323859,1,1000,9.095737667801183,0.28317383676217245,0.5752392448567414,62.408554210601196,0.05001001001001001
no_mux,100,1,0.005428675439323859,2,1000,9.375184230188765,0.26846124441614944,0.5973081333757758,64.46681218583012,0.04936936936936937
no_mux,100,1,0.005428675439323859,3,1000,19.814149031673963,0.2332478636969495,0.6501282044545756,109.65706747418136,0.034874874874874874
no_mux,100,1,0.005428675439323859,4,1000,9.043371518526833,0.26677199145046887,0.5998420128242966,63.392701925477624,0.054714714714714716
no_mux,100,1,0.005428675439323859,5,1000,10.211964179770371,0.2671285125674038,0.5993072311488944,68.48526849982333,0.053473473473473476
no_mux,100,1,0.005428675439323859,6,1000,9.22487567155497,0.24549217151292127,0.6317617427306181,69.47684898413978,0.0523023023023023
no_mux,100,1,0.005428675439323859,7,1000,11.161356353898753,0.2716826378774371,0.5924760431838443,72.14663784607774,0.055235235235235235
no_mux,100,1,0.005428675439323859,8,1000,10.108870450725133,0.26283308561128677,0.6057503715830697,67.04627343388529,0.04744744744744745
no_mux,100,1,0.005428675439323859,9,1000,9.282208670581817,0.26689144063121933,0.599662839053171,65.81253113247033,0.04811811811811812
no_mux,100,1,0.006866488450042998,0,1000,9.851866984350869,0.2515319930513492,0.6227020104229762,73.62776845132122,0.06411411411411412
no_mux,100,1,0.006866488450042998,1,1000,11.629480755063696,0.2409483374855882,0.6385774937716177,81.4856422715155,0.0637037037037037
no_mux,100,1,0.006866488450042998,2,1000,11.98897982065445,0.23497698653868396,0.6475345201919741,87.64558958510632,0.06605605605605605
no_mux,100,1,0.006866488450042998,3,1000,11.23632942400376,0.2381383959723749,0.6427924060414376,82.01563660542558,0.07601601601601601
no_mux,100,1,0.006866488450042998,4,1000,10.57138264099109,0.2313145927047733,0.6530281109428401,77.9043908225595,0.07314314314314314
no_mux,100,1,0.006866488450042998,5,1000,12.36151884489382,0.26095156438495104,0.6085726534225735,76.60474332183966,0.05622622622622623
no_mux,100,1,0.006866488450042998,6,1000,10.756688909994814,0.2690827801819815,0.5963758297270277,78.73987907731106,0.06473473473473473
no_mux,100,1,0.006866488450042998,7,1000,11.14006727174781,0.25140847660694526,0.6228872850895821,77.09189304642376,0.06703703703703703
no_mux,100,1,0.006866488450042998,8,1000,11.722271832112854,0.22957680858864082,0.6556347871170388,82.74023013109044,0.07434434434434434
no_mux,100,1,0.006866488450042998,9,1000,11.926579960666828,0.23712441082244032,0.6443133837663395,79.98828864139067,0.07001001001001
no_mux,100,1,0.008685113737513529,0,1000,13.385254962321286,0.2132652095426728,0.6801021856859908,96.94299311940986,0.0947047047047047
no_mux,100,1,0.008685113737513529,1,1000,14.590237540883225,0.2141782016461732,0.6787326975307402,98.17639245954996,0.09236236236236237
no_mux,100,1,0.008685113737513529,2,1000,12.811646440683404,0.2169977420461624,0.6745033869307565,90.29588804738823,0.07862862862862863
no_mux,100,1,0.008685113737513529,3,1000,13.391406275037335,0.21627874553164736,0.675581881702529,95.90651578805955,0.09962962962962962
no_mux,100,1,0.008685113737513529,4,1000,13.577754510604143,0.2173688133109313,0.6739467800336031,97.78163239868262,0.08103103103103103
no_mux,100,1,0.008685113737513529,5,1000,13.520432648515259,0.2045997497646319,0.6931003753530521,103.75160935329902,0.09478478478478479
no_mux,100,1,0.008685113737513529,6,1000,12.461344880712627,0.2080819935438058,0.6878770096842913,97.10752991123526,0.10094094094094094
no_mux,100,1,0.008685113737513529,7,1000,13.263408311690263,0.23002682788290207,0.6549597581756468,95.33772642969413,0.07786786786786787
no_mux,100,1,0.008685113737513529,8,1000,12.630034152528506,0.2217350318375665,0.6673974522436502,93.53906878423442,0.08535535535535535
no_mux,100,1,0.008685113737513529,9,1000,12.307547662286797,0.2077332886834043,0.6884000669748936,94.70858252457818,0.08575575575575575
no_mux,100,1,0.010985411419875584,0,1000,15.547495212204764,0.19364693903091668,0.7095295914536249,122.30032428960718,0.12114114114114113
no_mux,100,1,0.010985411419875584,1,1000,16.052003435656964,0.20576756143701258,0.6913486578444812,119.24398969087711,0.09678678678678679
no_mux,100,1,0.010985411419875584,2,1000,16.39006825882181,0.19122121572471973,0.7131681764129203,114.19258839069421,0.11743743743743744
no_mux,100,1,0.010985411419875584,3,1000,14.91475084144447,0.1943508430616225,0.7084737354075662,105.2872982096531,0.12237237237237238
no_mux,100,1,0.010985411419875584,4,1000,14.106696869914817,0.19436074264986924,0.7084588860251961,112.60829641456309,0.11457457457457458
no_mux,100,1,0.010985411419875584,5,1000,14.275592111901616,0.2040885349407171,0.6938671975889242,98.60936870374108,0.09733733733733733
